"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","minuslog10padj","diffexpressed"
"GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","24/237","169/11652",0.142011834319527,6.98194891768407,11.2869392154869,4.9862006594772e-14,1.35425209911401e-10,1.14997533104364e-10,"26934/12534/71819/208628/16551/52276/268697/54392/72119/100502766/66977/110033/76464/12236/12704/12235/18005/18817/70218/68612/67849/67629/20877/66468",24,9.86830048257633,"down"
"GOBP_CHROMOSOME_SEGREGATION","GOBP_CHROMOSOME_SEGREGATION","32/237","363/11652",0.0881542699724518,4.33406562750636,9.29859936727009,2.04762278441424e-12,2.50597927235431e-09,2.12797480262317e-09,"26934/12534/71819/208628/16551/52276/268697/54392/72119/56419/100502766/66977/110033/76464/12236/26886/12704/108000/12235/18005/218977/18817/71988/70218/12189/68612/67849/66570/67629/20877/70645/66468",32,8.60102252549645,"down"
"GOBP_MITOTIC_NUCLEAR_DIVISION","GOBP_MITOTIC_NUCLEAR_DIVISION","26/237","241/11652",0.107883817427386,5.30406008718945,9.72843116949625,2.97902488340683e-12,2.50597927235431e-09,2.12797480262317e-09,"26934/12534/71819/208628/16551/52276/13614/268697/54392/72119/100502766/66977/110033/76464/12236/21926/12704/12235/18005/18817/70218/68612/67849/67629/20877/66468",26,8.60102252549645,"down"
"GOBP_SISTER_CHROMATID_SEGREGATION","GOBP_SISTER_CHROMATID_SEGREGATION","24/237","205/11652",0.117073170731707,5.75585057116394,9.89867592380181,3.6906911227604e-12,2.50597927235431e-09,2.12797480262317e-09,"26934/12534/71819/208628/16551/52276/268697/54392/72119/100502766/66977/110033/76464/12236/12704/12235/18005/18817/70218/68612/67849/67629/20877/66468",24,8.60102252549645,"down"
"GOBP_CHROMOSOME_ORGANIZATION","GOBP_CHROMOSOME_ORGANIZATION","35/237","498/11652",0.070281124497992,3.45534034873672,8.06917005538318,1.09839871353107e-10,5.9665018119008e-08,5.0665085923086e-08,"26934/12534/17215/17219/71819/208628/12615/17216/16551/52276/268697/54392/72119/100502766/66977/19361/17218/110033/76464/12236/26886/12704/12235/18005/218977/18817/71988/72107/70218/68612/67849/67629/20877/70645/66468",35,7.22428022315388,"down"
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","25/237","268/11652",0.0932835820895522,4.58624598526356,8.5581096150234,1.91606040409197e-10,8.67336676252297e-08,7.36506727257105e-08,"26934/12534/71819/208628/16551/52276/268697/54392/72119/100502766/66977/110033/76464/12236/12704/108000/12235/18005/18817/70218/68612/67849/67629/20877/66468",25,7.06181228861808,"down"
"GOBP_ORGANELLE_FISSION","GOBP_ORGANELLE_FISSION","30/237","414/11652",0.072463768115942,3.56264905521923,7.65002066341995,1.31333074611883e-09,5.09572329494108e-07,4.32707919510732e-07,"16878/26934/12534/71819/208628/16551/52276/13614/268697/54392/72119/100502766/66977/19361/110033/76464/12236/21926/12704/14087/12235/18005/18817/70218/68612/67849/67629/20877/60530/66468",30,6.2927941628436,"down"
"GOBP_SPINDLE_CHECKPOINT_SIGNALING","GOBP_SPINDLE_CHECKPOINT_SIGNALING","11/237","48/11652",0.229166666666667,11.2668776371308,10.2700595277616,2.27674361441359e-09,7.72954457093413e-07,6.5636121831318e-07,"208628/52276/268697/56419/66977/76464/12236/12235/18817/67629/20877",11,6.11184609420031,"down"
"GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION","GOBP_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEGREGATION","11/237","51/11652",0.215686274509804,10.6041201290643,9.90404886636761,4.54773802504778e-09,1.37240627511442e-06,1.16539111261751e-06,"12534/208628/52276/268697/66977/76464/12236/12235/18817/67629/20877",11,5.8625173048673,"down"
"GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION","GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION","11/237","56/11652",0.196428571428571,9.65732368896926,9.35710239622471,1.3000223964863e-08,3.5308608288568e-06,2.99826217968578e-06,"208628/52276/268697/66977/76464/12236/12235/18817/68612/67629/20877",11,5.45211940009498,"down"
